filename,is_ml_workflow,data_loading,training,evaluation
sample_not_ml.py,False,"[1, 3]",[],[]
sample_sklearn2.py,True,"[1, 5]","[6, 10]","[11, 13]"
script_1_1.py,True,"[1, 5]","[6, 12]","[13, 18]"
script_1_2.py,True,"[1, 7]","[8, 12]","[13, 16]"
script_1_3.py,True,"[2, 8]","[9, 12]","[13, 16]"
script_2_1.py,True,"[1, 6]","[10, 17]","[18, 22]"
script_2_2.py,True,"[1, 8]","[9, 15]","[16, 20]"
script_2_3.py,True,"[1, 8]","[23, 37]","[45, 63]"
script_2_4.py,True,"[4, 8]","[9, 20]","[23, 32]"
script_3_1.py,True,"[1, 18]","[22, 55]","[56, 77]"
script_3_2.py,True,"[25, 30]","[31, 63]","[64, 72]"
script_3_3.py,True,"[2, 9]","[15, 31]","[34, 39]"
